uid,dim_x,dim_y,dim_z,spacing_x,spacing_y,spacing_z,n_voxels,fov_x_mm,fov_y_mm,fov_z_mm,dtype,isotropic
xaji0y6d,142,142,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2258368,349.3200054168701,349.3200054168701,275.52000427246094,uint16,True
pbhsahxt,142,142,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2258368,349.3200054168701,349.3200054168701,275.52000427246094,uint16,True
hv3a3zmf,148,148,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2453248,364.08000564575195,364.08000564575195,275.52000427246094,uint16,True
8mdd4v30,164,164,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,3012352,403.4400062561035,403.4400062561035,275.52000427246094,uint16,True
t9nt3w5u,156,156,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2725632,383.76000595092773,383.76000595092773,275.52000427246094,uint16,True
zbikcidk,152,152,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2587648,373.92000579833984,373.92000579833984,275.52000427246094,uint16,True
wnnhj7xv,138,138,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2132928,339.4800052642822,339.4800052642822,275.52000427246094,uint16,True
g0fn9xuy,152,152,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2587648,373.92000579833984,373.92000579833984,275.52000427246094,uint16,True
41ibljh7,128,128,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,1835008,314.8800048828125,314.8800048828125,275.52000427246094,uint16,True
5lxo6qji,140,140,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2195200,344.4000053405762,344.4000053405762,275.52000427246094,uint16,True
ujv6oh9s,150,150,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2520000,369.0000057220459,369.0000057220459,275.52000427246094,uint16,True
dbdw2pcn,144,144,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2322432,354.24000549316406,354.24000549316406,275.52000427246094,uint16,True
9t84azyt,144,144,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2322432,354.24000549316406,354.24000549316406,275.52000427246094,uint16,True
jxepq85j,170,170,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,3236800,418.20000648498535,418.20000648498535,275.52000427246094,uint16,True
sg65kxvf,146,146,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2387392,359.160005569458,359.160005569458,275.52000427246094,uint16,True
1t2tala7,134,134,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2011072,329.64000511169434,329.64000511169434,275.52000427246094,uint16,True
53lc58dr,150,150,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2520000,369.0000057220459,369.0000057220459,275.52000427246094,uint16,True
c11ertj5,156,156,112,2.4600000381469727,2.4600000381469727,2.4600000381469727,2725632,383.76000595092773,383.76000595092773,275.52000427246094,uint16,True
9mx2x18h,128,128,128,3.8953697681427,3.8953697681427,3.8953697681427,2097152,498.6073303222656,498.6073303222656,498.6073303222656,uint16,True
afeyuhz1,128,128,128,3.8953697681427,3.8953697681427,3.8953697681427,2097152,498.6073303222656,498.6073303222656,498.6073303222656,uint16,True
gv0e38da,128,128,49,3.8953697681427,3.8953697681427,3.8953697681427,802816,498.6073303222656,498.6073303222656,190.8731186389923,uint16,True
ly8ozcyw,128,128,128,3.8953697681427,3.8953697681427,3.8953697681427,2097152,498.6073303222656,498.6073303222656,498.6073303222656,uint16,True
d14ve92m,128,128,128,3.8953697681427,3.8953697681427,3.8953697681427,2097152,498.6073303222656,498.6073303222656,498.6073303222656,uint16,True
pnsm43d8,128,128,128,3.8953697681427,3.8953697681427,3.8953697681427,2097152,498.6073303222656,498.6073303222656,498.6073303222656,uint16,True
