uid,shift_mm
xaji0y6d,0.0
pbhsahxt,4.898979485566356
hv3a3zmf,5.656854249492381
8mdd4v30,10.770329614269007
t9nt3w5u,0.0
zbikcidk,3.4641016151377544
wnnhj7xv,5.656854249492381
g0fn9xuy,0.0
41ibljh7,2.8284271247461903
5lxo6qji,6.0
ujv6oh9s,0.0
dbdw2pcn,10.198039027185569
9t84azyt,10.954451150103322
jxepq85j,0.0
sg65kxvf,0.0
1t2tala7,10.198039027185569
53lc58dr,0.0
c11ertj5,18.0
9mx2x18h,0.0
afeyuhz1,0.0
gv0e38da,0.0
ly8ozcyw,0.0
d14ve92m,0.0
pnsm43d8,0.0
w3zp08j3,0.0
trp0j43d,0.0
5iqvnb4g,0.0
h2m5zja8,0.0
dzr1yxr2,0.0
dhylurtp,6.0
0lzjjege,0.0
t1ghr09s,0.0
kdgigatj,0.0
9tze5r5u,0.0
qpgb7r3o,8.246211251235321
cwbfuk9e,0.0
1v2isqp4,0.0
9kwv08hh,0.0
xfgcaqvk,0.0
izzqy72w,0.0
x7ptx63c,0.0
fl0ukeyz,0.0
7srcbplj,14.696938456699069
d84u89yj,0.0
b1qx6gvw,0.0
rdmly4ly,0.0
k83tqll8,0.0
os9xtogn,16.0
1w1ht7pz,0.0
e9vifttd,0.0
96qe3rzs,0.0
j49itn7s,0.0
55j2o7s3,8.246211251235321
kkv9rftm,0.0
ttqlgzui,0.0
1b0z3nx3,0.0
9rbsv55p,0.0
sq0oxfq8,0.0
myx444nl,0.0
z15bcw79,12.165525060596439
0pdw5py6,0.0
b2knftu2,0.0
gc5wi6fq,8.246211251235321
jja26yfp,0.0
mvxpj4hn,0.0
riuu9k9x,10.954451150103322
juy0bvr6,0.0
k2vmwwyz,10.198039027185569
x4w6xlpu,0.0
0dk0get8,0.0
t63j3r30,0.0
me8f8409,10.770329614269007
82n2atqy,0.0
yv37dia5,0.0
u6hc36ko,0.0
f8krd5eq,0.0
y08p0fod,0.0
ro8bnp84,0.0
dyt9moge,0.0
4qxxva2i,0.0
euc1hh5l,0.0
f6a4fejg,0.0
xaa2ilgb,0.0
0s0r2sds,0.0
8b25sq8c,8.0
royr6ccv,12.165525060596439
cjwtl9tq,0.0
vdz4x1zh,0.0
qimqodpx,10.770329614269007
nf7c3dd0,0.0
3uvulemx,4.898979485566356
15z8vmuh,0.0
xid4n1u3,6.6332495807108
493wxa73,10.0
jgzlma5u,0.0
ofwb0hpm,0.0
nz1udbfw,2.8284271247461903
yjxrpj1e,0.0
pkyrybov,0.0
akhejla0,4.898979485566356
gnzs43c5,0.0
ba75uuzp,8.48528137423857
eal2w37d,0.0
4ivsolml,10.198039027185569
gses6m03,4.898979485566356
3ifhv1xg,7.483314773547883
1r11q7uw,4.898979485566356
w5wfcpkj,4.898979485566356
cslqc3c5,7.483314773547883
4wsqt26q,7.483314773547883
3xlrfcd6,4.898979485566356
mzsgipps,0.0
fnkomv2x,4.47213595499958
